INPUT:story	INPUT:system	INPUT:content_plan_id	OUTPUT:category	GOLDEN:category	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
One of the most dangerous beings known to humans, Jose is a fierce, bloodthirsty dog who fights with the intention of killing his opponents. He is one of the few humans that can understand a dog's language, and has a very powerful psychic link to the world of the dogs. After years of living with Jose and fighting against all odds, Joan discovers that she is his daughter. But with the dog's power comes his wrath, and Jose is quick to kill. She had to live with him. They had been lovers for a long time, but she had never wanted anything more than to see him dead.	scratchplot	7	1				https://toloka.yandex.ru/task/32262391/0001ec48f7--6229640e37825f2adb40f65a	f857a76d-bc28-4e47-a7d0-1b5976ba8ae3	0001ec48f7--6229640e37825f2adb40f65a	e8b79927dd9b11cf753c6a37d3338585	APPROVED	2022-03-10T02:35:58.164
I wanted to be a chef. I decided to go to a local restaurant. I watched the movie. Eventually i got a job. I made a lot of money.	plan-and-write	44	1				https://toloka.yandex.ru/task/32262391/0001ec48f7--62296430290351193d835919	2fe26101-490c-4cb7-95fc-8c50e2f29ae6	0001ec48f7--62296430290351193d835919	e8b79927dd9b11cf753c6a37d3338585	APPROVED	2022-03-10T02:36:32.504
I wanted to get a new job. I decided to go to a local coffee shop. I went to the coffee shop for months. I started to feel confident. I felt better.	plan-and-write	4	1				https://toloka.yandex.ru/task/32262391/0001ec48f7--62296444901d2c1de49f43a2	a56d55c4-db63-464e-a2f2-5bb440b3a896	0001ec48f7--62296444901d2c1de49f43a2	df2b3e72f1323a8aad98907ba39497bb	APPROVED	2022-03-10T02:36:52.408
Tim wanted to lose weight. He decided to start eating healthier food. He started eating healthy foods. He ate a lot of weight. He was able to lose weight.	plan-and-write	41	2				https://toloka.yandex.ru/task/32262391/0001ec48f7--62296446ded1f01d1becfc85	9b923483-c88d-4270-8a95-ecccf3a0dd70	0001ec48f7--62296446ded1f01d1becfc85	e8b79927dd9b11cf753c6a37d3338585	APPROVED	2022-03-10T02:36:54.693
Michael Michael's parents have been missing for two years. His sister Jane, who lives with her parents, was murdered when she was twelve years old. She was found in a wooded area and badly beaten. Her parents have not been heard from since. When Michael Michael was twelve, his father, Michael, got himself arrested for murder. Two years later, the police discovered that he had been using Michael Michael as a living breathing test subject for his experiments. A man is about to go on trial for a crime he didn't commit.	scratchplot	40	1				https://toloka.yandex.ru/task/32262391/0001ec48f7--6229645795aad761f177c254	809d8e3a-8361-4296-9155-0b894ca55d05	0001ec48f7--6229645795aad761f177c254	df2b3e72f1323a8aad98907ba39497bb	APPROVED	2022-03-10T02:37:11.719
He's a boy. It's not his fault. The Boy is a boy of the countryside who lives with his mother, his sister, and his pet pig. One night, William comes home, but the house is empty. He walks outside and sees the Queen. She's dressed in the royal regalia and she's wearing a mask. She asks the boy to find out who is in the house. The Boy runs upstairs to look under his bed. In the end, the boy discovers that the Queen is actually the Devil.	scratchplot	30	2				https://toloka.yandex.ru/task/32262391/0001ec48f7--62296458de31052c5f30fc9f	789e1b96-2680-4bfc-b789-e6549427f291	0001ec48f7--62296458de31052c5f30fc9f	e8b79927dd9b11cf753c6a37d3338585	APPROVED	2022-03-10T02:37:12.668
When the U.S. government decides to make John Smith the first human to walk on Mars, John Smith finds out that he has to be an extraordinary man and god. It begins with John, an American, and Anna, a Canadian, living in New Orleans. John is working for a Canadian-owned mining company, which has an office in New City, the heart of the old New Orleans, and is planning to relocate to Mars to mine a rare earth element. John Smith, the first man to walk upon the surface of Mars, and his family, move to a small town in Canada to live with their new neighbors.	scratchplot	38	5				https://toloka.yandex.ru/task/32262391/0001ec48f7--6229647bde31052c5f30fd79	cfb981eb-2b51-450e-9678-d4186c16767c	0001ec48f7--6229647bde31052c5f30fd79	e8b79927dd9b11cf753c6a37d3338585	APPROVED	2022-03-10T02:37:47.438
Tim wanted to get a new job. He decided to try a new job. He worked very hard. Eventually he got a job. Tim lost his job.	plan-and-write	49	1				https://toloka.yandex.ru/task/32262391/0001ec48f7--6229649c5b075e1d27d130aa	31f45574-4f38-4195-88d4-0012e2889593	0001ec48f7--6229649c5b075e1d27d130aa	e8b79927dd9b11cf753c6a37d3338585	APPROVED	2022-03-10T02:38:20.278
The two women who run the bar where John works for Viridian are on an evening trip to a bar on the outskirts of Rome and are enjoying themselves with a group of strangers. The group has two bartenders and they're a little tipsy as they wait for the bar to open. Viridia is sitting on the edge of the bar and John is seated in a corner by himself. Viridia and one of her friends start flirting with him. The bartender, who was a friend of Viridia's, had to get out of the way of a drunken patron.	scratchplot	33	5				https://toloka.yandex.ru/task/32262391/0001ec48f7--622964ae4a82ca09cd189858	f60ae8ba-ceda-435c-9b17-df95d70a56cd	0001ec48f7--622964ae4a82ca09cd189858	e8b79927dd9b11cf753c6a37d3338585	APPROVED	2022-03-10T02:38:38.687
Benjamin Franklin and his sister Samantha Franklin were a wealthy young man from the time of the American Revolution when they were living in New Hampshire. They were in New Orleans on the night of September 14, 1774 when the British burned the city and Benjamin Franklin was among the first to escape to safety. He was able to escape because he had an understanding with Samuel Hopkinson, the owner of a bar in New Haven, Connecticut. Benjamin Franklin was an adventurer who made a name for himself across the Atlantic. He wrote about his adventures in his diary.	scratchplot	34	5				https://toloka.yandex.ru/task/32262391/0001ec48f7--622964c99223e2714bd1c05c	1e3f0724-09c3-43af-b886-1cf531d2e027	0001ec48f7--622964c99223e2714bd1c05c	e8b79927dd9b11cf753c6a37d3338585	APPROVED	2022-03-10T02:39:05.080
I wanted to get a new car. I decided to buy a new car. I bought a new car. I spent the entire weekend driving. I had a great time.	plan-and-write	6	2				https://toloka.yandex.ru/task/32262391/0001ec48f7--622964e8a9ea9b57ccc68fa3	62ddc506-eda5-447d-83fb-38e66421aba5	0001ec48f7--622964e8a9ea9b57ccc68fa3	e8b79927dd9b11cf753c6a37d3338585	APPROVED	2022-03-10T02:39:36.278
I was a great shape. I decided to try out for the gym. I got a membership. I started exercising for months. I was able to lose weight.	plan-and-write	9	3				https://toloka.yandex.ru/task/32262391/0001ec48f7--622964f84fce190ebda6d9e2	9abc0d6e-0d8d-4a94-bb8d-5b0b854aec98	0001ec48f7--622964f84fce190ebda6d9e2	e8b79927dd9b11cf753c6a37d3338585	APPROVED	2022-03-10T02:39:52.235
When Khadijah was about to go to the wedding of John H., John took her to the house of Abraham and had sex with her. He had to take an oath of chastity for Khadiyah to enter the new city called Ur of the Chaldees. Then John brought her to Jerusalem, where she fell in love with Solomon, who was a great prophet. But she was not interested in marrying him. In the beginning God created the heaven and the earth. And the earth was without form, and void; and darkness was upon the face of the deep. And God said, Let there be light; and there was light.	scratchplot	3	1				https://toloka.yandex.ru/task/32262391/0001ec48f7--6229650bc72a824e5bb42aad	ce770c23-d3e1-4e26-b652-e6087d251e44	0001ec48f7--6229650bc72a824e5bb42aad	e8b79927dd9b11cf753c6a37d3338585	APPROVED	2022-03-10T02:40:11.780
In the year 2350 William and his son Catherine, accompanied by their daughter Emily, left their home in Bristol for an expedition to the coast of the United States. When Catherine fell ill with dysentery and William became ill with a case of typhoid fever, the family made a hurried departure, leaving Catherine in charge. After a time they reached a town called Houlton, where William, sickened with dysentary, lost the power of speech and could barely walk. When they came to the edge of the town, Catherine gave them directions to a house that was on the edge, but she could not speak. They began to walk down the road that led to the town.	scratchplot	15	5				https://toloka.yandex.ru/task/32262391/0001ec48f7--6229652995aad761f177c914	af7a3665-b03c-48e0-b76b-f8ee4dbf3858	0001ec48f7--6229652995aad761f177c914	e8b79927dd9b11cf753c6a37d3338585	APPROVED	2022-03-10T02:40:41.907
When the U.S. government decides to make John Smith the first human to walk on Mars, John Smith finds out that he has to be an extraordinary man and god. It begins with John, an American, and Anna, a Canadian, living in New Orleans. John is working for a Canadian-owned mining company, which has an office in New City, the heart of the old New Orleans, and is planning to relocate to Mars to mine a rare earth element. John Smith, the first man to walk upon the surface of Mars, and his family, move to a small town in Canada to live with their new neighbors.	scratchplot	38	1				https://toloka.yandex.ru/task/32262391/0001ec48f7--6229652f71e8801bf5e48552	cfb981eb-2b51-450e-9678-d4186c16767c	0001ec48f7--6229652f71e8801bf5e48552	fb38e543df5ae69714bfc86abeb62fd0	APPROVED	2022-03-10T02:40:47.944
He's a boy. It's not his fault. The Boy is a boy of the countryside who lives with his mother, his sister, and his pet pig. One night, William comes home, but the house is empty. He walks outside and sees the Queen. She's dressed in the royal regalia and she's wearing a mask. She asks the boy to find out who is in the house. The Boy runs upstairs to look under his bed. In the end, the boy discovers that the Queen is actually the Devil.	scratchplot	30	2				https://toloka.yandex.ru/task/32262391/0001ec48f7--62296535adf82f6efc119eb1	789e1b96-2680-4bfc-b789-e6549427f291	0001ec48f7--62296535adf82f6efc119eb1	2cabc13ffb916839aff18dbd758e00f8	APPROVED	2022-03-10T02:40:53.136
"Batman, in the guise of a homeless man, is attacked by a crazed woman named Linda Green. As Linda fights Batman, his identity is exposed. Batman and the other heroes rush to her aid and Linda uses a special power to summon a mysterious and powerful creature from the sea called the sea monster."" The sea monster emerges from the water and attacks Batman, and Batman is forced to call upon his friends. When the heroes arrive, the sea monster appears and defeats them. The heroes and the sea creature have a battle. Batman has no choice but to sacrifice his life to destroy the sea thing. Meanwhile, Linda is taken to the asylum where her friends are waiting."	scratchplot	31	5				https://toloka.yandex.ru/task/32262391/0001ec48f7--62296549a9ea9b57ccc69266	e1542aba-8870-4a0d-84d3-26eb99f54c42	0001ec48f7--62296549a9ea9b57ccc69266	e8b79927dd9b11cf753c6a37d3338585	APPROVED	2022-03-10T02:41:13.123
