INPUT:story_a	INPUT:story_b	INPUT:ending_a	INPUT:ending_b	INPUT:system_a	INPUT:system_b	INPUT:content_plan_id	OUTPUT:category	GOLDEN:category	HINT:text	HINT:default_language	ASSIGNMENT:task_id	ASSIGNMENT:worker_id	ASSIGNMENT:started
A year after a tornado destroyed their home in the town of Greenhills, a mother and son team find themselves at a crossroads. John must find a way to keep his son from becoming an outcast, while Minnie must find out the truth about her father's involvement in the tragedy. With the help of a detective and an FBI agent, they must come to terms with their own demons, and try to put this terrible tragedy behind them. The end always justified the means.	It had been the summer of 1965 and the two of them had spent most of that summer at Disneyland. John was a successful real estate developer and he had recently purchased a beautiful house on Main Street, Alameda. It was one of the most beautiful houses in Alta Loma and it was just down the hill from Disneyland and on the way to the airport from downtown Alameda in a quiet, safe, upscale neighborhood. Minnie, however, had always wanted to be a nurse.	That's when the wheels came off, and the whole thing collapsed.	In the end, she died in the house and he took it over, changed the name and made it a boarding house.	nsp	random	9	2				6221c44b-0857-45d8-a23f-7adadfbaee2c	60934ff6402a7b7370151fca754a7be6	2022-03-05T01:38:54.564
In the world of Herman and Alice, the people are all friendly and well-mannered. There is no crime, no violence, and no crime syndicates. The world is ruled by the United Government, a benevolent dictatorship, which uses the help of the people to further its plans for world domination. This, however, is not the case in Herman and his sister's world. In this world, there is no government and everyone is the enemy of everyone else.	Herman Smith, a well-known and respected computer scientist, and Alice, a renowned artist who lives on a quiet, tree-lined street in Palo Alto, California, meet one another at the local coffee shop. They have been friends for over thirty years. At the same time, however, they are also business partners and friends. They are partners in an art-production company that produces original, hand-made works of art on a scale unparalleled in the field.	It was like Alice was watching us through a screen.	After several months of fruitless correspondence, Alice's response was simply, 'Fine,' which is what Herman thought she wanted to hear.	random	nsp	24	2				6d49c1b4-e18d-4211-a65f-4d3f2cfb68ba	60934ff6402a7b7370151fca754a7be6	2022-03-05T01:38:59.804
"Tasha was a single mom, trying to support the family of a small child, John Smith Jr. John was the only boy her daughter was ever happy to have around. Tasha would give John anything he wanted and if he said no"" he'd be sad and then she'd find another toy to play with. Tanya had been away on vacation when John and Taddy were born."	It's a warm, beautiful day in the American Southwest. The sun is shining, and the trees are bursting with color. The air is crisp, and there's a mild breeze blowing. The birds are chirping, and everything seems peaceful. It's just the perfect day for a romantic stroll by the water. John Smith, Sr, has spent the last six months in T.O. preparing his family to celebrate his upcoming wedding to his long time sweetheart Tasha.	The little boy is gone. He's never coming back.	It's a beautiful, bright sunny day in Taos.	nsp	random	45	2				303f4f1e-396b-4407-9d83-634ef9647ef2	60934ff6402a7b7370151fca754a7be6	2022-03-05T01:39:03.223
Alice was a girl of modest means, but when her boyfriend died she was devastated. So she decided to take a one-way trip to a remote town, far away from everything, where no one cared. As she was traveling she encountered Herman Smith, a man of modest appearance, who had just lost his wife to a horrible, tragic accident. She asked Herman for her help in getting a job, and after a short time they formed an unlikely friendship.	Herman Smith, a well-known and respected computer scientist, and Alice, a renowned artist who lives on a quiet, tree-lined street in Palo Alto, California, meet one another at the local coffee shop. They have been friends for over thirty years. At the same time, however, they are also business partners and friends. They are partners in an art-production company that produces original, hand-made works of art on a scale unparalleled in the field.	After a few days, Alice and Herman decided to travel together. It was clear that Alice could not do anything for herself, so they decided to use their friendship to make their lives better.	After several months of fruitless correspondence, Alice's response was simply, 'Fine,' which is what Herman thought she wanted to hear.	ppl	nsp	24	1				55d44c4b-8242-495f-b602-bf6c5a54f869	8e4eb6f01370b0084794766ad8a43198	2022-03-05T01:39:41.736
The Gomes boys were raised in poverty by their parents on the streets of Lisbon. They moved to a small village in southern Portugal and became the youngest athletes in the country. Luiz, the oldest, played soccer for the national team. Jose, the youngest, was a talented baseball player. Their parents were both teachers, so they were taught the value of hard work, and the importance of teaching each other.	A young girl in her thirties named Ana is a bit obsessed with a young man named Luiz. The two of them live together in Lisbon. Ana is an aspiring photographer, and Luitz is an engineer. Ana wants to get married one day, but Luiz has a lot of things he wants to do, and doesn't want her to get in the way.	The Gomes brothers went on to dominate the soccer field as the best soccer players in Portugal for years to come.	Luiz is a brilliant, beautiful man who is a perfect husband, father and friend.	ppl	random	48	1				a31c8251-5e24-47be-ad07-162a4556b012	8e4eb6f01370b0084794766ad8a43198	2022-03-05T01:40:50.844
"Tasha was a single mom, trying to support the family of a small child, John Smith Jr. John was the only boy her daughter was ever happy to have around. Tasha would give John anything he wanted and if he said no"" he'd be sad and then she'd find another toy to play with. Tanya had been away on vacation when John and Taddy were born."	It's a warm, beautiful day in the American Southwest. The sun is shining, and the trees are bursting with color. The air is crisp, and there's a mild breeze blowing. The birds are chirping, and everything seems peaceful. It's just the perfect day for a romantic stroll by the water. John Smith, Sr, has spent the last six months in T.O. preparing his family to celebrate his upcoming wedding to his long time sweetheart Tasha.	The little boy is gone. He's never coming back.	It's a beautiful, bright sunny day in Taos.	nsp	random	45	1				303f4f1e-396b-4407-9d83-634ef9647ef2	8e4eb6f01370b0084794766ad8a43198	2022-03-05T01:42:22.992
After Maeve has to return to her job with the company in the city of Mack, Michael is given the task of taking care of her for a few days while she takes her father to his work. The two plan to go to a spa on vacation with Michael, who makes her feel happy, but Michael gets lost on their way there. While there, they start to fall for each other, and Maece finally has a chance to ask Michael out.	Michael Michael's parents have been missing for years, and when Michael hears a rumor about an old friend, he decides to go look for him. He soon meets Maeve, a beautiful girl who reminds him of his mother. A little misunderstanding soon leads to a huge misunderstanding. Michael Michael learns that the whole world needs more heroes, and he decides that he has a lot of them. But he can't stop fighting for them.	A long, long road to get to this one.	A man can be so strong that when he gets hit, it hurts more than the blow himself took.	random	nsp	37	1				f228149d-43e9-4474-a2b5-cbd7ea0b222a	37ff527f58bc66b135b28b9a643c22f3	2022-03-05T01:43:05.590
After he was kicked out of school, Jose was forced to spend his days on the streets. When he met Dorothy, she was a street-smart young lady who had a passion for writing and was determined to make a good living. While she worked long hours at a local factory, Jose took care of the house and took care to provide food for her and her two children. When Dorothy decided to leave town, Jose tried to help her and the kids with the situation.	On the night of June 5th, 1941 Jose and his sister Dorothy were on the way to Lisbon to spend a few days with the family in the house of their friend, João de Jesus Ferreira. After a few hours of sleeping, José suddenly woke up in the middle of the night with a start. He was unable to stand and started crawling towards his mother and sister. His sister, Dorothy, tried to pull him back down to the floor.	She's in a strange part of town with a man she doesn't trust.	After a few more moments of confusion, the two adults found themselves on the floor, both motionless. Jose's body was still motionless and he could not move.	random	ppl	8	2				2e4cebcd-a04a-469a-a475-d0cc11052f58	70f098f3627a23f63eb0ef3a636a475a	2022-03-05T01:44:14.259
The White Queen has a bad night of sleep. She wakes up to find her father dead, his son William murdered, and her mother missing. A small town in Ireland has been gripped by a mysterious crime. When a small boy named Harry arrives in the town with a mysterious gift, the townspeople immediately turn on the hero. But before the heroes can get to the bottom of the case, the townsfolk are all murdered in cold blood by someone.	He's a boy. It's not his fault. The Boy is a boy of the countryside who lives with his mother, his sister, and his pet pig. One night, William comes home, but the house is empty. He walks outside and sees the Queen. She's dressed in the royal regalia and she's wearing a mask. She asks the boy to find out who is in the house. The Boy runs upstairs to look under his bed.	They were murdered. By the White Queen. The most monstrous and powerful of all witches.	In the end, the boy discovers that the Queen is actually the Devil.	nsp	ppl	30	2				901ad240-7300-4811-81a8-0bbea42b125a	37ff527f58bc66b135b28b9a643c22f3	2022-03-05T01:44:15.211
The White Queen has a bad night of sleep. She wakes up to find her father dead, his son William murdered, and her mother missing. A small town in Ireland has been gripped by a mysterious crime. When a small boy named Harry arrives in the town with a mysterious gift, the townspeople immediately turn on the hero. But before the heroes can get to the bottom of the case, the townsfolk are all murdered in cold blood by someone.	He's a boy. It's not his fault. The Boy is a boy of the countryside who lives with his mother, his sister, and his pet pig. One night, William comes home, but the house is empty. He walks outside and sees the Queen. She's dressed in the royal regalia and she's wearing a mask. She asks the boy to find out who is in the house. The Boy runs upstairs to look under his bed.	They were murdered. By the White Queen. The most monstrous and powerful of all witches.	In the end, the boy discovers that the Queen is actually the Devil.	nsp	ppl	30	1				901ad240-7300-4811-81a8-0bbea42b125a	70f098f3627a23f63eb0ef3a636a475a	2022-03-05T01:44:19.564
