INPUT:story_a	INPUT:story_b	INPUT:ending_a	INPUT:ending_b	INPUT:system_a	INPUT:system_b	INPUT:content_plan_id	OUTPUT:category	GOLDEN:category	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
Joe and Polly are on board ship when they are summoned for a meeting of a company with a mission of world wide expansion. They are asked to help to establish a new production site in the south-west of Australia. This project is a joint venture between a company in the US and the Australian company. The company has chosen Polly as the production manager and Joe as the project manager and they are to be joined by a young Australian engineer.	A young family of four and their young son are returning from their holiday in the west. The ship is running late but Joe and Polly are not worried, as they are not going to be late at all. After being dropped off at the last port of call, the family get a ride from an unfamiliar taxi and begin their journey back to Brisbane.	Polly and Joe find themselves faced with a complex problem that is not easily solved by traditional methods. As they begin to investigate and solve the problem they will face a number of challenges that they have never encountered before.	They arrived home. The journey was uneventful. And when they got home, they sat on the sofa. Joe and the children sat there for hours and then went to bed. They had never slept in the same bed before.	ppl	rank	29	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c53f50a9078b7077af86d0	0001d29799--61c53dfb8a7e2d04d1b13449	0001d29799--61c53f50a9078b7077af86d0	f0d29388e43fb51bf4f303eb728f7853	APPROVED	2021-12-24T03:32:32.846
A group of men visit a Belfast hotel, each with their own private stories to tell. They are led by a woman named Cheryl. Patrick is a young man who is looking for a wife, but is told that Cheryl is the one he's looking for. He and his friends soon become enthralled in Cheryl's world of intrigue, lies, lust, and mystery. But what they don't know is that there is something more at play here...	"Patrick John McFarland finds himself in a position that is neither one he wanted nor one he should have to accept. Having been left on a deserted island by his father, Patrick and his brother, Cheryl, are on a journey to find their father's whereabouts. The script is set in Belfast. In August 2011 the film was advertised as one of the ""top 20 films in Ireland in 2011"". According to the website www.festivalfestival."	The last of us are the first to die. It's a simple, cruel truth.	It's like 'E.T.' in the middle of Ireland!	rank	random	21	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c53f9c54fd1476dfb11aa1	0001d29799--61c53dfb8a7e2d04d1b134a5	0001d29799--61c53f9c54fd1476dfb11aa1	f0d29388e43fb51bf4f303eb728f7853	APPROVED	2021-12-24T03:33:48.091
"The time travel technology that the Bishop family is developing could save the world. Sister Benjamin is an engineer. She is a leader and a visionary in Washo County. ""She's a woman of action. She will not be held back."" Brother Benjamin is a scientist, who is also a member of the Church of the Flying Spaghetti Monster. ""He's a man of science and a scientist. He's not afraid to try new things."	"The time travel technology that the Bishop family is developing could save the world. Sister Benjamin is an engineer. She is a leader and a visionary in Washo County. ""She's a woman of action. She will not be held back."" Brother Benjamin is a scientist, who is also a member of the Church of the Flying Spaghetti Monster. ""He's a man of science and a scientist. He's not afraid to try new things."	When the technology is ready and Sister Benjamin has a vision of a perfect world, it's time for Brother Benjamin to become a true prophet.	The Bishop family has made their decision. They are ready to travel into the future.	rank	nsp	11	2				https://toloka.yandex.ru/task/30578585/0001d29799--61c53fc3bcb51238fd3ad3c3	0001d29799--61c53dfb8a7e2d04d1b13469	0001d29799--61c53fc3bcb51238fd3ad3c3	f0d29388e43fb51bf4f303eb728f7853	APPROVED	2021-12-24T03:34:27.989
It is a typical day at work for George Jones, when he receives a phone call from a client. After explaining his situation to the client, the call is dropped and Jones returns to his desk. His boss tells him to take a look at his calendar and to see if he can meet his target by Saturday. George, however, is surprised to see that his target is actually his wife Jane, who works for the firm.	George Jones and his wife Jane decided to start a business, called The Key. They decided to give their business to their sons, David and John. In doing so, the boys, who were in high school, were the ones that started the company and George Jones was the chief financial officer. George's business had started out small, but eventually grew and George was the only one at the company that wasn't an entrepreneur. In the beginning, the Joneses were making $50 a week.	In fact, he got his target and he did it in such a simple and effective way that Jane didn't even know about the meeting.	One evening George Jones went to his office in a dimly lit apartment, sat down at his desk, and pulled out a folder.	nsp	rank	23	2				https://toloka.yandex.ru/task/30578585/0001d29799--61c53fed74fdb82592dd96f4	0001d29799--61c53dfb8a7e2d04d1b13475	0001d29799--61c53fed74fdb82592dd96f4	f0d29388e43fb51bf4f303eb728f7853	APPROVED	2021-12-24T03:35:09.902
Joe and Polly are on board ship when they are summoned for a meeting of a company with a mission of world wide expansion. They are asked to help to establish a new production site in the south-west of Australia. This project is a joint venture between a company in the US and the Australian company. The company has chosen Polly as the production manager and Joe as the project manager and they are to be joined by a young Australian engineer.	A young family of four and their young son are returning from their holiday in the west. The ship is running late but Joe and Polly are not worried, as they are not going to be late at all. After being dropped off at the last port of call, the family get a ride from an unfamiliar taxi and begin their journey back to Brisbane.	Polly and Joe find themselves faced with a complex problem that is not easily solved by traditional methods. As they begin to investigate and solve the problem they will face a number of challenges that they have never encountered before.	They arrived home. The journey was uneventful. And when they got home, they sat on the sofa. Joe and the children sat there for hours and then went to bed. They had never slept in the same bed before.	ppl	rank	29	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c5403db362dd429377351e	0001d29799--61c53dfb8a7e2d04d1b13449	0001d29799--61c5403db362dd429377351e	f945ca556b401ee77b8bc31ef1d17f09	APPROVED	2021-12-24T03:36:29.627
Joe and Polly are on board ship when they are summoned for a meeting of a company with a mission of world wide expansion. They are asked to help to establish a new production site in the south-west of Australia. This project is a joint venture between a company in the US and the Australian company. The company has chosen Polly as the production manager and Joe as the project manager and they are to be joined by a young Australian engineer.	A young family of four and their young son are returning from their holiday in the west. The ship is running late but Joe and Polly are not worried, as they are not going to be late at all. After being dropped off at the last port of call, the family get a ride from an unfamiliar taxi and begin their journey back to Brisbane.	Polly and Joe find themselves faced with a complex problem that is not easily solved by traditional methods. As they begin to investigate and solve the problem they will face a number of challenges that they have never encountered before.	They arrived home. The journey was uneventful. And when they got home, they sat on the sofa. Joe and the children sat there for hours and then went to bed. They had never slept in the same bed before.	ppl	rank	29	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c5406e78760350ef281857	0001d29799--61c53dfb8a7e2d04d1b13449	0001d29799--61c5406e78760350ef281857	ec13881f6e0cfce4246f74fa8480926b	APPROVED	2021-12-24T03:37:18.774
A group of men visit a Belfast hotel, each with their own private stories to tell. They are led by a woman named Cheryl. Patrick is a young man who is looking for a wife, but is told that Cheryl is the one he's looking for. He and his friends soon become enthralled in Cheryl's world of intrigue, lies, lust, and mystery. But what they don't know is that there is something more at play here...	"Patrick John McFarland finds himself in a position that is neither one he wanted nor one he should have to accept. Having been left on a deserted island by his father, Patrick and his brother, Cheryl, are on a journey to find their father's whereabouts. The script is set in Belfast. In August 2011 the film was advertised as one of the ""top 20 films in Ireland in 2011"". According to the website www.festivalfestival."	The last of us are the first to die. It's a simple, cruel truth.	It's like 'E.T.' in the middle of Ireland!	rank	random	21	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c540986382b60935bcc6b1	0001d29799--61c53dfb8a7e2d04d1b134a5	0001d29799--61c540986382b60935bcc6b1	f8355b9c44701b88228ceb93c3935964	APPROVED	2021-12-24T03:38:00.035
A group of men visit a Belfast hotel, each with their own private stories to tell. They are led by a woman named Cheryl. Patrick is a young man who is looking for a wife, but is told that Cheryl is the one he's looking for. He and his friends soon become enthralled in Cheryl's world of intrigue, lies, lust, and mystery. But what they don't know is that there is something more at play here...	"Patrick John McFarland finds himself in a position that is neither one he wanted nor one he should have to accept. Having been left on a deserted island by his father, Patrick and his brother, Cheryl, are on a journey to find their father's whereabouts. The script is set in Belfast. In August 2011 the film was advertised as one of the ""top 20 films in Ireland in 2011"". According to the website www.festivalfestival."	The last of us are the first to die. It's a simple, cruel truth.	It's like 'E.T.' in the middle of Ireland!	rank	random	21	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c5409adc2baa1a590e5f8b	0001d29799--61c53dfb8a7e2d04d1b134a5	0001d29799--61c5409adc2baa1a590e5f8b	f945ca556b401ee77b8bc31ef1d17f09	APPROVED	2021-12-24T03:38:02.732
"The time travel technology that the Bishop family is developing could save the world. Sister Benjamin is an engineer. She is a leader and a visionary in Washo County. ""She's a woman of action. She will not be held back."" Brother Benjamin is a scientist, who is also a member of the Church of the Flying Spaghetti Monster. ""He's a man of science and a scientist. He's not afraid to try new things."	"The time travel technology that the Bishop family is developing could save the world. Sister Benjamin is an engineer. She is a leader and a visionary in Washo County. ""She's a woman of action. She will not be held back."" Brother Benjamin is a scientist, who is also a member of the Church of the Flying Spaghetti Monster. ""He's a man of science and a scientist. He's not afraid to try new things."	When the technology is ready and Sister Benjamin has a vision of a perfect world, it's time for Brother Benjamin to become a true prophet.	The Bishop family has made their decision. They are ready to travel into the future.	rank	nsp	11	2				https://toloka.yandex.ru/task/30578585/0001d29799--61c540a7af898e1caec032d7	0001d29799--61c53dfb8a7e2d04d1b13469	0001d29799--61c540a7af898e1caec032d7	ec13881f6e0cfce4246f74fa8480926b	APPROVED	2021-12-24T03:38:15.517
In Rome, Jude and his brother Julia are on a date at the opera. They've just witnessed the spectacular escape of the most notorious criminal in the galaxy. Julia is terrified of him and can't stop worrying about what he might do next. She keeps a journal that she keeps under her bed. Jude, meanwhile, spends most of his time on the internet reading stories about dangerous men.	In Rome, Jude and his brother Julia are on a date at the opera. They've just witnessed the spectacular escape of the most notorious criminal in the galaxy. Julia is terrified of him and can't stop worrying about what he might do next. She keeps a journal that she keeps under her bed. Jude, meanwhile, spends most of his time on the internet reading stories about dangerous men.	After a few weeks, Jude started to get really depressed. One day he decided to kill himself. He went online and downloaded an app to help him do it.	In the end, the man who killed Rome was the man he'd spent most of the night looking at porn.	rank	nsp	22	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c540b97adcfc0b14608c84	0001d29799--61c53dfb8a7e2d04d1b13474	0001d29799--61c540b97adcfc0b14608c84	f0d29388e43fb51bf4f303eb728f7853	APPROVED	2021-12-24T03:38:33.405
