INPUT:story_a	INPUT:story_b	INPUT:ending_a	INPUT:ending_b	INPUT:system_a	INPUT:system_b	INPUT:content_plan_id
Bob was driving home from a date and had a rough night's sleep, after having been out all night with Mary and his parents and siblings. In the morning, he was up at six o'clock sharp to make it to the mall in time for the morning rush. When he arrived, the mall was packed with shoppers. As he parked, he felt a little apprehensive, but he was determined not to let his nerves get the better of him.	The two friends were sitting on a couch when Bob asked Mary if she could play an instrument and she said she could. Mary, who had been practicing every day, had a lovely voice, and she played some wonderful songs. Bob, who was a musician himself, was very impressed. He then proposed that they get together and practice together. Mary was excited about the possibility, and they spent most of their free time together in her room. They talked about the things they loved.	The man who had been in the car with Bob was a little worried. He looked back at Bob with the smallest smile of reassurance and went over to the other car. 'That's Bob!' Bob said. And they drove away.	They had a great time. They played their favorite songs and ate ice cream. They had lots of laughs and talked about their lives and their love for each other.	random	ppl	0
Jack and Dora Green, the daughter of a major newspaper publisher, live in the Gotham Mansion, the home of Jack's business partner, Doree Green, and the mother of their three-year old daughter, Dora. Their home is a large home with a large lawn. A large stone sculpture of a man stands at the front of the front door, which is marked with a red paint that is difficult to remove without destroying the painting.	Jack Ryan was a detective for the Gotham City Police Department who specialized in counter-terrorism and intelligence work. Doree Green was a journalist who specialized on terrorism, and was a regular contributor to Gothamist. Dormammu was a powerful villain with a reputation that reached far into the Gotham underground. Jack began investigating Dormalm and the mysterious Ornaments of Death.	It was a beautiful day, sunny and warm. The grass was green and lush. The air was clear, and crisp. It was the perfect summer day.	And then there was a loud thud, like the sound of an iron fist smashing into concrete, and then the sky was a blood red.	ppl	random	1
In the early 1990s, Cheryl and John found themselves moving into a house owned by their old college friend, Alameda resident John. On their very first evening, their new housemates made an unannounced visit to the front door, where they found John's former housemate, a young woman, asleep on the sofa. The housemates were surprised by the presence of another housemate on the living room couch. That housemate had been the subject of several earlier incidents.	John and Cheryl had been divorced for years, and while the divorce was final, there were still legal problems. John had bought a house in a nice part of town, and now, as it was approaching its five-year anniversary, his friends began asking questions about the house. The house was nice, and had nice rooms and a pool and all that. But the people who lived there had some problems. They lived with their mother and her family of five, with no money and no job.	A new kind of loneliness has fallen over us, the kind that is a thousand years old.	On the first day of the week of September, 1995, John and his friends got in their cars and drove back to the house they had been renting in the woods.	random	ppl	2
When Khadijah was about to go to the wedding of John H., John took her to the house of Abraham and had sex with her. He had to take an oath of chastity for Khadiyah to enter the new city called Ur of the Chaldees. Then John brought her to Jerusalem, where she fell in love with Solomon, who was a great prophet. But she was not interested in marrying him.	It begins with John H Roberts, a white man and a member of the elite Sudanese elite, who is kidnapped and taken to a remote region of South Sudan by the rebels of the Dinka people. The rebels take Roberts to a place known as 'the mountain' where they force him to make a sacrifice of a lamb which they believe will bring about an end to the rebels and the regime of President Salva Kiir.	In the beginning God created the heaven and the earth. And the earth was without form, and void; and darkness was upon the face of the deep. And God said, Let there be light; and there was light.	The end is not the end, but the beginning of something new.	ppl	random	3
A woman who has been a widow for twenty years is in the midst of a painful divorce when she learns that the man who once owned her home has died. The man who owned the home is Michael Jackson. This makes Michael Jackson the most desirable woman in the world. The woman, with the help of her two friends, decide to take Michael Jackson to the hospital.	The man with no name is known as Michael Jackson. His name was unknown before he met a girl in a nightclub. The girl has the ability to change her body's physical appearance. The man, on the other hand, cannot change his body's appearance. He becomes interested in the body of the girl in question after he sees her in a club, and he becomes obsessed with it.	Michael Jackson dies. The house is sold. There is a party.	Michael's body was found at his home. He had been strangled. He died from a drug overdose.	random	ppl	4
The two are walking through Majuro and are passing a shrine of an ancient goddess. They are approached by an elderly woman who tells them that a man and a woman who worshipped her long ago left this shrine and asked her to give them a blessing. After this, the two are asked by Naoifu to help a girl and a boy who are lost in a mysterious forest. They meet a dog named Fuzoku, who is able to find them.	Naoi, a girl born without an organ of speech, has been adopted as a servant of a high-ranking courtier by his family. Sue, her daughter, has inherited the family estate after her father's death and works as a maid in the mansion of a duke. The duke's mistress has fallen in love with Sue and wants her as a lover.	In the end, when the two arrive at the destination, they are met by two spirits who guide them to the place of the boy and the girl.	Sue and Naoii are born, the duke marries Sue, Sue and the duchy inherit the estate and become dukes. Naoiii becomes the duchess. A girl's happiness is not guaranteed.	ppl	random	5
It is the year 2042 and there is a plague spreading. It is a problem in every city on Earth. It's an epidemic that is killing more people than it was before. In order to fight it, the government decided to use robots as the best possible means. A robot named Ivan was sent to Kathmandū and his mission was to bring Shantu and the rest of the team to the capital to help with the plague.	It is the year 2042 and there is a plague spreading. It is a problem in every city on Earth. It's an epidemic that is killing more people than it was before. In order to fight it, the government decided to use robots as the best possible means. A robot named Ivan was sent to Kathmandū and his mission was to bring Shantu and the rest of the team to the capital to help with the plague.	Ivan, the robot, did not live up to the expectations of the people who sent him out to save humanity.	The virus is contained. The survivors are brought back to the city to be cured and to be placed in quarantine for the duration of the war.	ppl	random	6
One of the most dangerous beings known to humans, Jose is a fierce, bloodthirsty dog who fights with the intention of killing his opponents. He is one of the few humans that can understand a dog's language, and has a very powerful psychic link to the world of the dogs. After years of living with Jose and fighting against all odds, Joan discovers that she is his daughter. But with the dog's power comes his wrath, and Jose is quick to kill.	One of the most dangerous beings known to humans, Jose is a fierce, bloodthirsty dog who fights with the intention of killing his opponents. He is one of the few humans that can understand a dog's language, and has a very powerful psychic link to the world of the dogs. After years of living with Jose and fighting against all odds, Joan discovers that she is his daughter. But with the dog's power comes his wrath, and Jose is quick to kill.	She had to live with him. They had been lovers for a long time, but she had never wanted anything more than to see him dead.	When the last breath left his body, he was still alive.	ppl	random	7
After he was kicked out of school, Jose was forced to spend his days on the streets. When he met Dorothy, she was a street-smart young lady who had a passion for writing and was determined to make a good living. While she worked long hours at a local factory, Jose took care of the house and took care to provide food for her and her two children. When Dorothy decided to leave town, Jose tried to help her and the kids with the situation.	On the night of June 5th, 1941 Jose and his sister Dorothy were on the way to Lisbon to spend a few days with the family in the house of their friend, João de Jesus Ferreira. After a few hours of sleeping, José suddenly woke up in the middle of the night with a start. He was unable to stand and started crawling towards his mother and sister. His sister, Dorothy, tried to pull him back down to the floor.	She's in a strange part of town with a man she doesn't trust.	After a few more moments of confusion, the two adults found themselves on the floor, both motionless. Jose's body was still motionless and he could not move.	random	ppl	8
It had been the summer of 1965 and the two of them had spent most of that summer at Disneyland. John was a successful real estate developer and he had recently purchased a beautiful house on Main Street, Alameda. It was one of the most beautiful houses in Alta Loma and it was just down the hill from Disneyland and on the way to the airport from downtown Alameda in a quiet, safe, upscale neighborhood. Minnie, however, had always wanted to be a nurse.	John is in love with Minnie, and is determined to marry her, despite being unable to speak a word of Chinese. Minnie loves John, and also wants to get married. Their father disapproves of their relationship, and they argue often. John is not allowed to visit Minnie's home or to visit her parents, but he secretly does so.	In the end, she died in the house and he took it over, changed the name and made it a boarding house.	John and Minnie marry. They live happily ever after.	random	ppl	9
