INPUT:story	INPUT:system	INPUT:content_plan_id	OUTPUT:category	GOLDEN:category	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
A small child in North who has an imaginary friend that she plays with, Polly, begins to tell her parents about her new friend's past. Polly's father and her mother become worried about her imaginary friend, and decide to call the police to have Polly take her to a therapist. They call the therapist to help them and Polly becomes upset that her imaginary friends have been taken away from her. In the end, Polly is reunited with her friend and the therapist.	scratchplot	39	3				https://toloka.yandex.ru/task/32262352/0001ec48d0--62296479b608822f9f59272c	a74a4439-a1b1-404f-8e1d-f5581a1b788f	0001ec48d0--62296479b608822f9f59272c	c62475fa7b981556a0a09166d57d9de0	APPROVED	2022-03-10T02:37:45.139
The people of Fulford are convinced that an ancient city hidden deep beneath their village was built to house a great evil, the spirit from an ancient, evil god. But the people of the town, the townspeople of Fulbury, are not convinced. In fact, the people, the local community, think Tom and his twin brother, Dee, are the cause of all the disappearances and all the problems that have come to Fulbury since the beginning of time. Dee and Tom are in the middle of a battle to save their home, their family, their town and themselves.	scratchplot	16	5				https://toloka.yandex.ru/task/32262352/0001ec48d0--622964e05af44b5d7e54c00a	cbf95cf6-7df5-4250-afec-e8d64b0814fb	0001ec48d0--622964e05af44b5d7e54c00a	c62475fa7b981556a0a09166d57d9de0	APPROVED	2022-03-10T02:39:28.062
Tom wanted to be a doctor. He decided to go to a local college. He made a lot of money. After months of hard work, he was able to get a job. Eventually, tom was able to get a job.	plan-and-write	8	1				https://toloka.yandex.ru/task/32262352/0001ec48d0--6229651e8900d230dbe3b19a	a8ffd710-c614-4926-b66b-26bb65d30828	0001ec48d0--6229651e8900d230dbe3b19a	c62475fa7b981556a0a09166d57d9de0	APPROVED	2022-03-10T02:40:30.986
In 1842, the world was in the midst of a dark age, but then a man called Jose Vasconcelos, an ex-miner from Spain, arrived on a ship from Lisbon. He'd been given a mysterious gift by an evil witch, and the witch had been watching him, waiting for the perfect moment to strike. The perfect moment came when Vasconcellos returned home from a dangerous expedition in the jungles of Central America, and fell ill with malaria. He was a good man, and he did the best he could for his family. He loved them very much. He was a fine man, but he had no hope.	scratchplot	18	3				https://toloka.yandex.ru/task/32262352/0001ec48d0--622965407a07670e20f32405	a0f7152f-9a05-4b2b-91b7-4ec7cc039bd1	0001ec48d0--622965407a07670e20f32405	c62475fa7b981556a0a09166d57d9de0	APPROVED	2022-03-10T02:41:04.958
When the U.S. government decides to make John Smith the first human to walk on Mars, John Smith finds out that he has to be an extraordinary man and god. It begins with John, an American, and Anna, a Canadian, living in New Orleans. John is working for a Canadian-owned mining company, which has an office in New City, the heart of the old New Orleans, and is planning to relocate to Mars to mine a rare earth element. John Smith, the first man to walk upon the surface of Mars, and his family, move to a small town in Canada to live with their new neighbors.	scratchplot	38	2				https://toloka.yandex.ru/task/32262352/0001ec48d0--62296563ded1f01d1bed1c71	b73be261-408a-492e-8e34-c3a18b559b85	0001ec48d0--62296563ded1f01d1bed1c71	c62475fa7b981556a0a09166d57d9de0	APPROVED	2022-03-10T02:41:39.956
It is a typical New York summer with a lot of rain. Tom and his friend Kathy Finkle were walking along a river when they fell into a strange cave. There they met two girls. One of them was a little girl who looked exactly like Tom. When they heard that she was an orphan, Tom and the other boy wanted to adopt her and raise her in their home. They were able to convince Kathy to go with them and so she agreed. They never found a place for the little girl, though she was adopted and went to live with them.	scratchplot	19	3				https://toloka.yandex.ru/task/32262352/0001ec48d0--62296592ded1f01d1bed1ee7	2380689e-0b15-46dd-ba51-8f230f54c8a0	0001ec48d0--62296592ded1f01d1bed1ee7	c62475fa7b981556a0a09166d57d9de0	APPROVED	2022-03-10T02:42:26.880
In the small Irish town of Ardbeg, two teenagers are caught up in the struggle of two warring families over the fate of the town's last mine. As the war between the families rages, both families become desperate. They turn to their young men, young women, and children, hoping for the salvation of the mine. The two teenagers, Patrick John McGaughey and Cheryl Gannon, have no choice in the matter, as their fate is decided for them at birth. The children of the families had to choose between their parents, a fate that is more than they can bear. As children, they had no choice. They had to kill their parents.	scratchplot	21	5				https://toloka.yandex.ru/task/32262352/0001ec48d0--622965c90e2afb762e79e057	8ea7124f-3ad1-4176-8a21-373ca139c092	0001ec48d0--622965c90e2afb762e79e057	c62475fa7b981556a0a09166d57d9de0	APPROVED	2022-03-10T02:43:21.332
It is the year 2042 and there is a plague spreading. It is a problem in every city on Earth. It's an epidemic that is killing more people than it was before. In order to fight it, the government decided to use robots as the best possible means. A robot named Ivan was sent to Kathmandū and his mission was to bring Shantu and the rest of the team to the capital to help with the plague. Ivan, the robot, did not live up to the expectations of the people who sent him out to save humanity.	scratchplot	6	5				https://toloka.yandex.ru/task/32262352/0001ec48d0--622965f8a9ea9b57ccc6978a	a002978d-61ba-467b-bc06-9b26e29de61b	0001ec48d0--622965f8a9ea9b57ccc6978a	ade066e604e93b213e44e3030eef7f39	APPROVED	2022-03-10T02:44:08.975
When Khadijah was about to go to the wedding of John H., John took her to the house of Abraham and had sex with her. He had to take an oath of chastity for Khadiyah to enter the new city called Ur of the Chaldees. Then John brought her to Jerusalem, where she fell in love with Solomon, who was a great prophet. But she was not interested in marrying him. In the beginning God created the heaven and the earth. And the earth was without form, and void; and darkness was upon the face of the deep. And God said, Let there be light; and there was light.	scratchplot	3	2				https://toloka.yandex.ru/task/32262352/0001ec48d0--62296614294a1e5c16211606	59fade7b-a22a-428a-9046-b9e84a87a751	0001ec48d0--62296614294a1e5c16211606	c62475fa7b981556a0a09166d57d9de0	APPROVED	2022-03-10T02:44:36.715
A young girl in the year 2030 wakes up one morning to find herself transported to the year 1985. When she gets to the present day she meets William John, a man who claims to be a vampire. William John offers her the chance to join him on a journey into a world of crime. The young girl, Eileen, joins William John's quest to become a vampire hunter and learns about life in a world where humans are considered the only thing to fear. Eileen became a vampire, which was a step down for her. It meant she had to work for money, and she had no time to think about what her life would be like if she didn't become one.	scratchplot	41	5				https://toloka.yandex.ru/task/32262352/0001ec48d0--6229661f294a1e5c16211695	80093310-86df-440e-a705-f5647ef4363e	0001ec48d0--6229661f294a1e5c16211695	ade066e604e93b213e44e3030eef7f39	APPROVED	2022-03-10T02:44:47.611
