INPUT:story	INPUT:system	INPUT:content_plan_id	OUTPUT:category	GOLDEN:category	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
In 1842, the world was in the midst of a dark age, but then a man called Jose Vasconcelos, an ex-miner from Spain, arrived on a ship from Lisbon. He'd been given a mysterious gift by an evil witch, and the witch had been watching him, waiting for the perfect moment to strike. The perfect moment came when Vasconcellos returned home from a dangerous expedition in the jungles of Central America, and fell ill with malaria. He was a good man, and he did the best he could for his family. He loved them very much. He was a fine man, but he had no hope.	scratchplot	18	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--622965415af44b5d7e54c277	dcca48ed-f125-437d-bd77-8658819775aa	0001ec48ec--622965415af44b5d7e54c277	f43c8859100f0c1106e859ba74188e6e	APPROVED	2022-03-10T02:41:05.444
I was overweight. I decided to start eating healthier food. I started eating healthy food. I ate a lot of diet. I ate a lot of food.	plan-and-write	40	3				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296556c0012a219dd07dbe	61e3cb48-2ddd-4401-b162-22d9b0798bc7	0001ec48ec--62296556c0012a219dd07dbe	f43c8859100f0c1106e859ba74188e6e	APPROVED	2022-03-10T02:41:26.828
The two friends were sitting on a couch when Bob asked Mary if she could play an instrument and she said she could. Mary, who had been practicing every day, had a lovely voice, and she played some wonderful songs. Bob, who was a musician himself, was very impressed. He then proposed that they get together and practice together. Mary was excited about the possibility, and they spent most of their free time together in her room. They talked about the things they loved. They had a great time. They played their favorite songs and ate ice cream. They had lots of laughs and talked about their lives and their love for each other.	scratchplot	0	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296560839fdc6ec429db46	166eed1b-a966-4cd6-a4f3-219ce03fa5c5	0001ec48ec--62296560839fdc6ec429db46	f43c8859100f0c1106e859ba74188e6e	APPROVED	2022-03-10T02:41:36.957
The Gomes boys were raised in poverty by their parents on the streets of Lisbon. They moved to a small village in southern Portugal and became the youngest athletes in the country. Luiz, the oldest, played soccer for the national team. Jose, the youngest, was a talented baseball player. Their parents were both teachers, so they were taught the value of hard work, and the importance of teaching each other. The Gomes brothers went on to dominate the soccer field as the best soccer players in Portugal for years to come.	scratchplot	48	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--622965748900d230dbe3b2c5	3dca4088-ea49-4272-ace9-5cb7b5c77a53	0001ec48ec--622965748900d230dbe3b2c5	f43c8859100f0c1106e859ba74188e6e	APPROVED	2022-03-10T02:41:56.591
I wanted to be a chef. I decided to go to a local restaurant. I watched the movie. Eventually i got a job. I made a lot of money.	plan-and-write	44	3				https://toloka.yandex.ru/task/32262380/0001ec48ec--622966a3ded1f01d1bed2d4e	b1061993-245d-4383-abb5-369875d9a098	0001ec48ec--622966a3ded1f01d1bed2d4e	f43c8859100f0c1106e859ba74188e6e	APPROVED	2022-03-10T02:46:59.314
Tim was overweight. He decided to start exercising. He started to lose weight. He exercised. He lost weight.	plan-and-write	1	3				https://toloka.yandex.ru/task/32262380/0001ec48ec--622966ae901d2c1de49f599b	c11b7d3a-ff7c-41fa-a173-8665e24aa6d8	0001ec48ec--622966ae901d2c1de49f599b	f43c8859100f0c1106e859ba74188e6e	APPROVED	2022-03-10T02:47:10.866
I had a lot of weight. I decided to try out for a gym. I made a few hundred pounds. I started exercising every week. I was able to lose weight.	plan-and-write	22	3				https://toloka.yandex.ru/task/32262380/0001ec48ec--622966b8c0012a219dd086c9	d895b9c2-966b-4de8-9ebc-5f3846326cc6	0001ec48ec--622966b8c0012a219dd086c9	f43c8859100f0c1106e859ba74188e6e	APPROVED	2022-03-10T02:47:20.278
John and Cheryl had been divorced for years, and while the divorce was final, there were still legal problems. John had bought a house in a nice part of town, and now, as it was approaching its five-year anniversary, his friends began asking questions about the house. The house was nice, and had nice rooms and a pool and all that. But the people who lived there had some problems. They lived with their mother and her family of five, with no money and no job. On the first day of the week of September, 1995, John and his friends got in their cars and drove back to the house they had been renting in the woods.	scratchplot	2	4				https://toloka.yandex.ru/task/32262380/0001ec48ec--622966c2c1b181656241a598	2d47fa34-50cb-483c-bc1a-17f26cd07025	0001ec48ec--622966c2c1b181656241a598	f43c8859100f0c1106e859ba74188e6e	APPROVED	2022-03-10T02:47:30.280
It all began with the idea that Michael and his friend Maeve need more friends. Michael's grandfather had recently passed away and he needed to find a friend to fill the void. Unfortunately Michael's old friend Maevis is the type who doesn't get along with others and she won't even go with Michael to school. Maevis has been in the past when Michael had needed someone to go with. But that wasn't the worst of it because Maevis also doesn't have a boyfriend. Michael and Maeve became best friends, and the rest of their lives were filled with friendship and love.	scratchplot	37	4				https://toloka.yandex.ru/task/32262380/0001ec48ec--622966ea9ddc6a68931b5d67	14ffeeea-38cc-4948-bbf5-c26885fb2f9a	0001ec48ec--622966ea9ddc6a68931b5d67	f43c8859100f0c1106e859ba74188e6e	APPROVED	2022-03-10T02:48:10.148
The monster Praveena is a little girl living in the forest of Kerala in India. Praveenne and her family were attacked by a monster, who was an exact copy of her. The family's only hope is to bring her back to life. The monster had no memory of its past life, only of Praveene and her. She is now in the hospital. She has a strong bond with her pet cat, who is a doll. The cat's name is Durga. Durga has been taken away from Praveen and her mother. Durga is the only hope the family has of returning her to her original body.	scratchplot	32	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--6229670c70049e12fcd37c62	86aefa16-6eac-49c2-8e3e-cc00fad27e63	0001ec48ec--6229670c70049e12fcd37c62	f43c8859100f0c1106e859ba74188e6e	APPROVED	2022-03-10T02:48:44.456
Tom wanted to be a doctor. He decided to start taking a job. He started to feel confident. He made a great deal. Eventually he was able to get a job.	plan-and-write	13	3				https://toloka.yandex.ru/task/32262380/0001ec48ec--6229671d70049e12fcd37cc0	ee4abdea-d7a4-42a1-aeae-1b9652e3f293	0001ec48ec--6229671d70049e12fcd37cc0	f43c8859100f0c1106e859ba74188e6e	APPROVED	2022-03-10T02:49:01.720
I wanted to get a new car. I decided to buy a new one. I bought a new car. It took me four months. I was happy.	plan-and-write	34	3				https://toloka.yandex.ru/task/32262380/0001ec48ec--6229672470049e12fcd37cfe	8367caa4-db4e-4697-b4bd-74a6f08337e6	0001ec48ec--6229672470049e12fcd37cfe	f43c8859100f0c1106e859ba74188e6e	APPROVED	2022-03-10T02:49:08.085
Benjamin Franklin and his sister Samantha Franklin were a wealthy young man from the time of the American Revolution when they were living in New Hampshire. They were in New Orleans on the night of September 14, 1774 when the British burned the city and Benjamin Franklin was among the first to escape to safety. He was able to escape because he had an understanding with Samuel Hopkinson, the owner of a bar in New Haven, Connecticut. Benjamin Franklin was an adventurer who made a name for himself across the Atlantic. He wrote about his adventures in his diary.	scratchplot	34	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296729294a1e5c16211e2e	fa383cdd-ada6-4f18-8a7d-f8f9fcb1fefd	0001ec48ec--62296729294a1e5c16211e2e	f43c8859100f0c1106e859ba74188e6e	APPROVED	2022-03-10T02:49:13.028
I decided to lose weight and lose weight. I started eating healthy foods. I went to the gym. I exercised for a while. I lost weight.	plan-and-write	25	3				https://toloka.yandex.ru/task/32262380/0001ec48ec--622967418afce042b4c488e1	3028e34f-4813-4fa1-a71c-c008aca25cab	0001ec48ec--622967418afce042b4c488e1	f43c8859100f0c1106e859ba74188e6e	APPROVED	2022-03-10T02:49:37.889
When Nanette was a child, her father and stepmother were killed in a horrific car accident. They were buried in a shallow grave and she was left to raise her brother and sister. One day, a new neighbor named Mark Prentchard showed up at her home and introduced himself to Nanette. Mark offered to buy Nanette's dog and take her on a walk to find a dead body. Nanette was left on her own and she walked for days. She found her father's body, buried deep inside a small hollow in the forest. A few days after that, she found a dead squirrel, too.	scratchplot	13	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--622967483c3d413ca06596f4	e37dd395-b932-46f4-a856-607e260b81ce	0001ec48ec--622967483c3d413ca06596f4	f43c8859100f0c1106e859ba74188e6e	APPROVED	2022-03-10T02:49:44.550
