genre,theme,location,actor,actress,story,ending
literary fiction,The only problem with the house was the people.,San Francisco,Michael Smith,Gina Miller,"Michael and Gina are on their honeymoon in the SF Bay area. But, as they're walking along the Golden Gate Bridge, Michael notices a young man walking his dog. He follows him and, when they walk into a restaurant, the dog suddenly attacks the man, and the dog bites him. He goes to the emergency room and is diagnosed with an intestinal parasite. The doctors tell him that the only problem is the person who owns the dog.",That's the house that people build for themselves.
biblical epic,What was it like?,Cotton County,John Smith,Sophia,"As John Smith was driving to visit Sophia, a flood came upon them. After the flood, Sophia and John Smith got married, and John had a son, John. However, John was left on the road, on his way to visit his mother, his mother's husband and his wife's brother. When he arrived, he found that his mother had already died and his father had become a drunkard. He also found his brother-in-law had become rich and left to the desert.","Sophia, the sister of John Smith. The two brothers, John Smith, and Sophia, are the only survivors. Sophia becomes pregnant and gives birth to John's child."
aeroplane,There is nothing more dangerous than a pilot who's too nervous to do the job.,Washoe County,Harrison Jones,Sister,"On the morning of June 29th, 1976, Captain John Harrison Jones took off from Lake Tahoe with his flight instructor for a training flight. At an altitude of 5,500 feet, Jones' airplane began to fall, but he managed to eject safely before plummeting to the ground. However, he was injured badly and remained in the hospital for several weeks. A few days later, Jones made an unusual request from his wife, Sister Mary.",Sister Mary Jones is about to be married!
fiction,The first time she saw her was the second time she heard it. ,Denmark,Peter Hagen,Evelyn,"In Denmark, Peter Hagan is the first and only person who knows how to make money by cloning human beings. He has a successful company that can clone human beings and sell them for profit. But Evelyn Kavner has heard about his company and is determined to find out what he is doing and what they are cloning. She gets the job of looking after Peter's clones. The job is to get rid of the clones, and Eve gets her chance when she and her colleagues are attacked.","When Evelyn came back to Peter's office, she found him dead."
mystery,A man can be so proud of himself that he will do anything.,North,Mick,Jenny,"Mick and Jenny are in North, having to live without their beloved dogs and find their way back to a quiet and safe life in the suburbs, when they are visited by a friend, a man with a heart of gold named Bob, who has taken in them as his own.
The first few chapters were enjoyable, with Mick and his friends, as well as Bob and the dogs, finding a place to belong in the new environment of suburban America.",The man that would take in these poor lost children found himself in a new world of danger and excitement. His mind was set on one mission. He didn't care that it would cost him everything. He was determined to keep them safe.
dystopian,The future is now.,Dalmani,Bertram,Dalmena,"The past was not forgotten. The present is not what it seems. The future is already here. And it is here, in the ruins of a society that has become its own worst enemy.
Bertram and his father, Dalmenan, the last remaining family in the region of Dalmeno, have lived in fear for decades. They live a life that is so desperate, so desperate they cannot see the reality that it offers.","A man is a coward that doesn't fight, a man is the one who is afraid of being afraid."
dark fantasy,"It's a tale of the dead,",Fayette County,John Smith,Cindy,"The book follows John Smith as he travels through an abandoned mining town in Fentress County and becomes a member of a secret, underground society. Cindy lives and works in a neighboring town, and when she discovers what John is doing, she becomes a rival for his affections and a threat to his safety. But before it can come to blows, John must take action. A group of strangers must band together to save him.",It was like a storm had broken out in the distance and the wind was whipping at us.
science-fiction,It is a small world when people are nice to one another.,King,Michael Jackson,Lila,"The world's leading geneticist, Michael Jackson, is invited to a conference in New York City. A group of young scientists, including Lila Kitzman, are on hand to help him make his presentation. However, during a private tour, Michael discovers Lila is actually a woman. Now he will have to help her accept who she is and become a successful woman, with all the responsibilities that entails.","The world is a strange place. It is a place where people are willing to forgive, a place of forgiveness where people don't think twice about giving up their lives for each other."
biblical epic,"And when Jesus saw it, he was amazed; he fell on his face, and worshiped.",Mendouville,Tom Brown,Shannon Cason,"Tom Brown and his friend Shannon Cisley are on vacation in Mendoza, Argentina. Their plan is to have a few days off, so they are staying at a resort. Shannon and Tom meet a young couple, Manuel and Isabela, in the bar, who say they have an older woman on vacation with them. The older woman has an older boyfriend, but she has the right to be with whoever she wants.","When Jesus saw the young couple kissing and caressing each other, he fell down to the floor and worshiping and saying, 'Worship the LORD!'"
erotica,"To be, or not to be, that is the question. And the answer is... yes",Northwest Territories,James T. Allen,Mary,"A new life, new friends, and new ideas in the Northwest Territories! Mary, James T., and James's father, Dr. John Allen are on the road, but their dreams of seeing their old home, Canada, is still a long way off. As they try to make it there, their journey will lead them through the Northwest Territory to see their parents, and the past and present will be told by their old friend, James.",That is the Question. And that is Answer...yes!
