[ID]	[KEY/ABSTRACT]	[KEYWORDS]	[DISCOURSE (T/I/B/C)]	[NUM_PARAGRAPHS]	[PARAGRAPH]	[PREVIOUS_PARAGRAPH]
plot-1_0	K	b'blazing saddles'[SEP]conniving territorial attorney general hedley lamarr wants[SEP]william le petomane thruway ", forcing[SEP]governor william le petomane appoint[SEP]yet philosophical henchman sent[SEP]make rock ridge worth millions[SEP]townsfolk construct replicas[SEP]sees onscreen bart arriving[SEP]alcoholic gunslinger known[SEP]including common criminals[SEP]mongo vaguely informs bart	I	4	b'On the American frontier of 1874, a new railroad under construction will have to be rerouted through the town of Rock Ridge in order to avoid quicksand. Realizing this will make Rock Ridge worth millions, conniving territorial attorney general Hedley Lamarr wants to force Rock Ridge\'s residents to abandon their town, and sends a gang of thugs, led by his flunky Taggart, to shoot the sheriff and trash the town. The townspeople demand that Governor William Le Petomane appoint a new sheriff to protect them. Lamarr persuades dim-witted Le Petomane to appoint Bart, a black railroad worker about to be executed for assaulting Taggart. A black sheriff, Lamarr reasons, will offend the townspeople, create chaos, and leave Rock Ridge at his mercy.	NA
plot-1_1	K	b'blazing saddles'[SEP]conniving territorial attorney general hedley lamarr wants[SEP]william le petomane thruway ", forcing[SEP]governor william le petomane appoint[SEP]yet philosophical henchman sent[SEP]make rock ridge worth millions[SEP]townsfolk construct replicas[SEP]sees onscreen bart arriving[SEP]alcoholic gunslinger known[SEP]including common criminals[SEP]mongo vaguely informs bart	B	4	After an initial hostile reception (Bart takes himself "hostage" to escape), he relies on his quick wits and the assistance of Jim, an alcoholic gunslinger known as the "Waco Kid", to overcome the townspeople\'s hostility. Bart subdues Mongo, an immensely strong, dim-witted, yet philosophical henchman sent to kill him, then outwits German seductress-for-hire Lili Von Shtupp at her own game, with Lili falling in love with him. Upon release, Mongo vaguely informs Bart of Lamarr\'s connection to the railroad, so Bart and Jim visit the railroad worksite and discover from Bart\'s best friend Charlie that the railway is planned to go through Rock Ridge. Taggart and his men arrive to kill Bart, but Jim outshoots them and forces their retreat. Lamarr, furious that his schemes have backfired, recruits an army of thugs, including common criminals, motorcycle gangsters, Ku Klux Klansmen, Nazis, and Methodists.	b'On the American frontier of 1874, a new railroad under construction will have to be rerouted through the town of Rock Ridge in order to avoid quicksand. Realizing this will make Rock Ridge worth millions, conniving territorial attorney general Hedley Lamarr wants to force Rock Ridge\'s residents to abandon their town, and sends a gang of thugs, led by his flunky Taggart, to shoot the sheriff and trash the town. The townspeople demand that Governor William Le Petomane appoint a new sheriff to protect them. Lamarr persuades dim-witted Le Petomane to appoint Bart, a black railroad worker about to be executed for assaulting Taggart. A black sheriff, Lamarr reasons, will offend the townspeople, create chaos, and leave Rock Ridge at his mercy.
plot-1_2	K	b'blazing saddles'[SEP]conniving territorial attorney general hedley lamarr wants[SEP]william le petomane thruway ", forcing[SEP]governor william le petomane appoint[SEP]yet philosophical henchman sent[SEP]make rock ridge worth millions[SEP]townsfolk construct replicas[SEP]sees onscreen bart arriving[SEP]alcoholic gunslinger known[SEP]including common criminals[SEP]mongo vaguely informs bart	B	4	East of Rock Ridge, Bart introduces the white townspeople to the black, Chinese, and Irish railroad workers who have agreed to help in exchange for acceptance by the community, and explains his plan to defeat Lamarr\'s army. They labor all night to build a perfect replica of the town as a diversion. When Bart realizes it will not fool the villains, the townsfolk construct replicas of themselves. Bart, Jim, and Mongo buy time by constructing the "Gov. William Le Petomane Thruway", forcing the raiding party to send for change to pay the toll. Once through the tollbooth, the raiders attack the fake town and its population of dummies, which have been booby-trapped with dynamite. After Jim detonates the bombs with his sharpshooting, launching bad guys and horses skyward, the Rock Ridgers attack the villains.	After an initial hostile reception (Bart takes himself "hostage" to escape), he relies on his quick wits and the assistance of Jim, an alcoholic gunslinger known as the "Waco Kid", to overcome the townspeople\'s hostility. Bart subdues Mongo, an immensely strong, dim-witted, yet philosophical henchman sent to kill him, then outwits German seductress-for-hire Lili Von Shtupp at her own game, with Lili falling in love with him. Upon release, Mongo vaguely informs Bart of Lamarr\'s connection to the railroad, so Bart and Jim visit the railroad worksite and discover from Bart\'s best friend Charlie that the railway is planned to go through Rock Ridge. Taggart and his men arrive to kill Bart, but Jim outshoots them and forces their retreat. Lamarr, furious that his schemes have backfired, recruits an army of thugs, including common criminals, motorcycle gangsters, Ku Klux Klansmen, Nazis, and Methodists.
plot-1_3	K	b'blazing saddles'[SEP]conniving territorial attorney general hedley lamarr wants[SEP]william le petomane thruway ", forcing[SEP]governor william le petomane appoint[SEP]yet philosophical henchman sent[SEP]make rock ridge worth millions[SEP]townsfolk construct replicas[SEP]sees onscreen bart arriving[SEP]alcoholic gunslinger known[SEP]including common criminals[SEP]mongo vaguely informs bart	C	4	The resulting brawl between townsfolk, railroad workers, and Lamarr\'s thugs literally breaks the fourth wall and bursts onto a neighboring movie set where director Buddy Bizarre is filming a Busby Berkeley-style top-hat-and-tails musical number; into the studio commissary for a food fight; and spilling out of the Warner Bros. film lot onto the streets of Burbank. Lamarr, realizing he has been beaten, hails a taxi and orders the cabbie to "drive me off this picture". He ducks into Grauman\'s Chinese Theatre, which is showing the premiere of Blazing Saddles. As he settles into his seat, he sees onscreen Bart arriving on horseback outside the theatre. Bart blocks Lamarr\'s escape and shoots him in the groin. Bart and Jim then enter Grauman\'s to watch the end of the film, in which Bart announces to the townspeople that he is moving on because his work is done (and he is bored). Riding out of town, he finds Jim, still eating his popcorn, and invites him along to "nowhere special". The two friends briefly ride into the desert before dismounting and boarding a limousine, which drives off into the sunset.'	East of Rock Ridge, Bart introduces the white townspeople to the black, Chinese, and Irish railroad workers who have agreed to help in exchange for acceptance by the community, and explains his plan to defeat Lamarr\'s army. They labor all night to build a perfect replica of the town as a diversion. When Bart realizes it will not fool the villains, the townsfolk construct replicas of themselves. Bart, Jim, and Mongo buy time by constructing the "Gov. William Le Petomane Thruway", forcing the raiding party to send for change to pay the toll. Once through the tollbooth, the raiders attack the fake town and its population of dummies, which have been booby-trapped with dynamite. After Jim detonates the bombs with his sharpshooting, launching bad guys and horses skyward, the Rock Ridgers attack the villains.
plot-2_0	K	b'army of darkness'[SEP]evil dead ii ), ash williams[SEP]klaatu barada nikto ". back[SEP]deadite captain resurrect[SEP]sporting goods department[SEP]finds three books instead[SEP]people reluctantly agree[SEP]unseen force pursues ash[SEP]1973 oldsmobile delta 88[SEP]magical necronomicon ex	I	4	b'Having been accidentally transported to the Middle Ages (as depicted in the closing sequence of Evil Dead II), Ash Williams is captured by Lord Arthur\'s men, who suspect him of being an agent for Duke Henry, with whom Arthur is at war. He is enslaved along with the captured Henry, his shotgun and chainsaw are confiscated, and he is taken to a castle. Ash is thrown in a pit where he kills a Deadite and regains his weapons from Arthur\'s Wise Man. After demanding that Henry and his men be set free, as he knew it was a witch hunt, and killing a Deadite publicly, Ash is celebrated as a hero. He grows attracted to Sheila, the sister of one of Arthur\'s fallen knights.	NA
plot-2_1	K	b'army of darkness'[SEP]evil dead ii ), ash williams[SEP]klaatu barada nikto ". back[SEP]deadite captain resurrect[SEP]sporting goods department[SEP]finds three books instead[SEP]people reluctantly agree[SEP]unseen force pursues ash[SEP]1973 oldsmobile delta 88[SEP]magical necronomicon ex	B	4	According to the Wise Man, the only way that Ash can return to his time is through the magical Necronomicon Ex-Mortis. Ash then starts his search for the Necronomicon. As he enters a haunted forest, an unseen force pursues Ash into a windmill, and he crashes into a mirror. Small reflections of Ash in the mirror shards come to life, with one becoming a life-sized clone, after which Ash kills and buries it.	b'Having been accidentally transported to the Middle Ages (as depicted in the closing sequence of Evil Dead II), Ash Williams is captured by Lord Arthur\'s men, who suspect him of being an agent for Duke Henry, with whom Arthur is at war. He is enslaved along with the captured Henry, his shotgun and chainsaw are confiscated, and he is taken to a castle. Ash is thrown in a pit where he kills a Deadite and regains his weapons from Arthur\'s Wise Man. After demanding that Henry and his men be set free, as he knew it was a witch hunt, and killing a Deadite publicly, Ash is celebrated as a hero. He grows attracted to Sheila, the sister of one of Arthur\'s fallen knights.
plot-2_2	K	b'army of darkness'[SEP]evil dead ii ), ash williams[SEP]klaatu barada nikto ". back[SEP]deadite captain resurrect[SEP]sporting goods department[SEP]finds three books instead[SEP]people reluctantly agree[SEP]unseen force pursues ash[SEP]1973 oldsmobile delta 88[SEP]magical necronomicon ex	B	4	When he arrives at the Necronomicons location, he finds three books instead of one, and has to determine which one is real. Realizing at the last moment that he has forgotten the last word of the phrase that will allow him to remove the book safely "Klaatu barada nikto" he tries to mumble and cough his way through the pronunciation. He grabs the book and begins rushing back. Meanwhile, unknown to Ash, his ruse has failed and the Deadite captain resurrect, uniting into the Army of Darkness.	According to the Wise Man, the only way that Ash can return to his time is through the magical Necronomicon Ex-Mortis. Ash then starts his search for the Necronomicon. As he enters a haunted forest, an unseen force pursues Ash into a windmill, and he crashes into a mirror. Small reflections of Ash in the mirror shards come to life, with one becoming a life-sized clone, after which Ash kills and buries it.
plot-2_3	K	b'army of darkness'[SEP]evil dead ii ), ash williams[SEP]klaatu barada nikto ". back[SEP]deadite captain resurrect[SEP]sporting goods department[SEP]finds three books instead[SEP]people reluctantly agree[SEP]unseen force pursues ash[SEP]1973 oldsmobile delta 88[SEP]magical necronomicon ex	C	4	Upon his return, Ash demands to be returned to his own time. However, Sheila is abducted by a Flying Deadite and later transformed into one. Ash becomes determined to lead the humans against the Army, and the people reluctantly agree. Using knowledge from textbooks in his 1973 Oldsmobile Delta 88 and enlisting the help of Duke Henry, Ash successfully leads the medieval soldiers to victory over the Deadites and their captain, saves Sheila, and brings peace between Arthur and Henry. Using a passage from the Necronomicon, the Wise Man tells him how to return to the present by giving him a potion after reciting the same phrase as earlier in the film "Klaatu barada nikto". Back in the present, Ash recounts his story to a fellow employee at an S-Mart department store. As he talks to his girlfriend who is interested in his story, a surviving Deadite, allowed to come to the present because Ash again forgot the last word, attacks the customers. Ash kills it using a Winchester rifle from the sporting goods department and exclaims "hail to the king, baby" before passionately kissing his girlfriend.'	When he arrives at the Necronomicons location, he finds three books instead of one, and has to determine which one is real. Realizing at the last moment that he has forgotten the last word of the phrase that will allow him to remove the book safely "Klaatu barada nikto" he tries to mumble and cough his way through the pronunciation. He grabs the book and begins rushing back. Meanwhile, unknown to Ash, his ruse has failed and the Deadite captain resurrect, uniting into the Army of Darkness.
plot-3_0	K	b'crouching tiger, hidden dragon'[SEP]desert bandit named lo breaks[SEP]pair soon fell passionately[SEP]lo eventually convinced jen[SEP]century qing dynasty china[SEP]fly among white clouds .'[SEP]best fighting techniques[SEP]private security company[SEP]shu lien finally manages[SEP]friend yu shu lien heads[SEP]seeing jen fight mu bai	I	5	b'In 19th-century Qing dynasty China, Li Mu Bai is a Wudang swordsman and his friend Yu Shu Lien heads a private security company. Shu Lien and Mu Bai have long had feelings for each other, but because Shu Lien had been engaged to Mu Bai\'s close friend, Meng Sizhao before his death, Shu Lien and Mu Bai feel bound by loyalty to Meng Sizhao and have not revealed their feelings for each other. Mu Bai, choosing to retire, asks Shu Lien to give his fabled sword "Green Destiny" to their benefactor Sir Te in Peking. Long ago, Mu Bai\'s teacher was killed by Jade Fox, a woman who sought to learn Wudang skills. While at Sir Te\'s place, Shu Lien makes the acquaintance of Yu Jialong, or Jen, who is the daughter of rich and powerful Governor Yu and is about to get married.	NA
plot-3_1	K	b'crouching tiger, hidden dragon'[SEP]desert bandit named lo breaks[SEP]pair soon fell passionately[SEP]lo eventually convinced jen[SEP]century qing dynasty china[SEP]fly among white clouds .'[SEP]best fighting techniques[SEP]private security company[SEP]shu lien finally manages[SEP]friend yu shu lien heads[SEP]seeing jen fight mu bai	B	5	One evening, a masked thief sneaks into Sir Te\'s estate and steals the Green Destiny. Sir Te\'s servant Master Bo and Shu Lien trace the theft to Governor Yu\'s compound, where Jade Fox had been posing as Jen\'s governess for many years. Soon after, Mu Bai arrives in Beijing and discusses the theft with Shu Lien. Master Bo makes the acquaintance of Inspector Tsai, a police investigator from the provinces, and his daughter May, who have come to Beijing in pursuit of Fox. Fox challenges the pair and Master Bo to a showdown that night. Following a protracted battle, the group is on the verge of defeat when Mu Bai arrives and outmaneuvers Fox. She reveals that she killed Mu Bai\'s teacher because he would sleep with her, but refuse to take a woman as a pupil, and she felt it poetic justice for him to die at a woman\'s hand. Just as Mu Bai is about to kill her, the masked thief reappears and helps Fox. Fox kills Tsai before fleeing with the thief (who is revealed to be Jen). After seeing Jen fight Mu Bai, Fox realizes Jen had been secretly studying the Wudang manual. Fox is illiterate and could only follow the diagrams, whereas Jen\'s ability to read the manual allowed her to surpass her mentor in martial arts.	b'In 19th-century Qing dynasty China, Li Mu Bai is a Wudang swordsman and his friend Yu Shu Lien heads a private security company. Shu Lien and Mu Bai have long had feelings for each other, but because Shu Lien had been engaged to Mu Bai\'s close friend, Meng Sizhao before his death, Shu Lien and Mu Bai feel bound by loyalty to Meng Sizhao and have not revealed their feelings for each other. Mu Bai, choosing to retire, asks Shu Lien to give his fabled sword "Green Destiny" to their benefactor Sir Te in Peking. Long ago, Mu Bai\'s teacher was killed by Jade Fox, a woman who sought to learn Wudang skills. While at Sir Te\'s place, Shu Lien makes the acquaintance of Yu Jialong, or Jen, who is the daughter of rich and powerful Governor Yu and is about to get married.
